OTU,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
OTU335,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Diplogasteridae,Diplogaster
OTU336,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Diplogasteridae,Rhabditidoides
OTU337,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis
OTU338,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Cephaloboides
OTU339,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Colobanthus
OTU340,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Nicotiana
OTU341,Eukaryota,Viridiplantae,Streptophyta,Pinopsida,Araucariales,Araucariaceae,Araucaria
OTU342,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosaetaceae,Methanothrix
OTU343,Archaea,Archaea,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
OTU344,Bacteria,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Pelolinea
OTU345,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas
OTU346,Bacteria,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
OTU347,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Azonexus
OTU348,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter
OTU349,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas
OTU350,Bacteria,Bacteria,Spirochaetes,Spirochaetia,,Leptospiraceae,Leptonema
OTU351,Bacteria,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga
OTU352,Eukaryota,Eukaryota,,,Trichomonadida,,Pseudotrichomonas
OTU353,Bacteria,Bacteria,Actinobacteria,Actinobacteria,Nakamurellales,Nakamurellaceae,Nakamurella
OTU354,Bacteria,Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Haliscomenobacteraceae,Haliscomenobacter
OTU355,Bacteria,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Saccharofermentans_Ruminococcaceae
OTU356,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
OTU357,Bacteria,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tabrizicola
OTU358,Bacteria,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter
OTU359,Bacteria,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Phaselicystidaceae,Phaselicystis
OTU360,Bacteria,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio
OTU361,Eukaryota,Eukaryota,,,,,Paratrimastix
OTU362,Eukaryota,Eukaryota,,Oligohymenophorea,Sessilida,Epistylidae,Epistylis
OTU363,Archaea,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
